﻿UIC;Gare;Jour de la semaine;Horaire en jour normal;Horaire en jour férié
0087761718;Saint-Marcellin;Lundi;06:30-13:15;
0087761718;Saint-Marcellin;Samedi;08:00-13:15;
0087761718;Saint-Marcellin;Dimanche;14:00-17:00;
0087761650;Romans - Bourg-de-Péage;Mercredi;08:00-16:00;
0087761239;L'Isle-d'Abeau;Lundi;11:30-18:40;
0087761239;L'Isle-d'Abeau;Jeudi;11:30-18:40;
0087761163;Tain-l'Hermitage - Tournon;Mercredi;07:40-17:00;
0087761007;Valence;Samedi;05:00-23:00;06:30-23:00
0087757724;Grasse;Vendredi;07:00-20:00;09:00-16:10
0087757674;Antibes;Vendredi;05:10-23:30;05:10-00:30
0087757526;Saint-Raphaël Valescure;Lundi;05:45-22:30;05:45-23:30
0087757526;Saint-Raphaël Valescure;Jeudi;05:45-22:30;05:45-23:30
0087757500;Fréjus;Lundi;13:30-17:10;
0087757500;Fréjus;Mercredi;09:00-12:30;
0087757500;Fréjus;Mercredi;13:30-17:10;
0087756833;Breil-sur-Roya;Lundi;05:45-12:35;13:35-20:40
0087756833;Breil-sur-Roya;Lundi;13:35-20:40;13:35-20:40
0087756833;Breil-sur-Roya;Mardi;13:35-20:40;13:35-20:40
0087756833;Breil-sur-Roya;Vendredi;05:45-12:35;13:35-20:40
0087756833;Breil-sur-Roya;Vendredi;13:35-20:40;13:35-20:40
0087756833;Breil-sur-Roya;Samedi;13:35-20:40;05:45-12:35
0087756833;Breil-sur-Roya;Dimanche;13:35-20:40;13:35-20:40
0087756486;Menton;Lundi;06:00-19:30;06:00-19:30
0087756486;Menton;Mardi;06:00-19:30;06:00-19:30
0087756353;Nice Riquier;Mardi;05:45-21:00;
0087756353;Nice Riquier;Mercredi;05:45-21:00;
0087756320;Cagnes-sur-Mer;Mardi;05:50-20:45;06:45-20:45
0087756320;Cagnes-sur-Mer;Samedi;05:50-20:45;06:45-20:45
0087755611;La Crau;Lundi;00:00-23:59;00:00-23:59
0087755611;La Crau;Mardi;00:00-23:59;00:00-23:59
0087755611;La Crau;Vendredi;00:00-23:59;00:00-23:59
0087755447;Les Arcs - Draguignan;Vendredi;05:30-23:00;05:30-23:00
0087755371;Carnoules;Mardi;08:00-11:00;
0087755330;Solliès-Pont;Jeudi;06:15-13:25;
0087755306;La Garde;Vendredi;06:00-13:10;
0087755264;La Seyne - Six Fours;Vendredi;09:00-13:00;
0087755231;Ollioules - Sanary-sur-Mer;Mercredi;09:00-13:00;
0087755223;Bandol;Lundi;09:00-13:00;
0087755223;Bandol;Lundi;14:00-17:10;
0087755215;Saint-Cyr Les Lecques - La Cadière;Vendredi;13:00-15:00;
0087755009;Toulon;Lundi;04:45-00:00;04:45-00:00
0087755009;Toulon;Mardi;04:45-00:00;04:45-00:00
0087755009;Toulon;Mercredi;04:45-00:00;04:45-00:00
0087755009;Toulon;Vendredi;04:45-00:00;04:45-00:00
0087753657;Arles;Lundi;05:45-22:30;06:45-22:30
0087753657;Arles;Mardi;05:45-22:30;06:45-22:30
0087753566;Carry-le-Rouet;Lundi;06:50-13:50;Fermé
0087753509;Martigues;Vendredi;09:55-16:55;Fermé
0087753459;Port-de-Bouc;Mercredi;09:55-16:55;Fermé
0087753418;Istres;Mardi;09:55-16:55;Fermé
0087753251;Rognac;Jeudi;07:35-11:35;Fermé
0087753251;Rognac;Vendredi;07:35-11:35;Fermé
0087753004;Miramas;Lundi;05:00-22:45;06:45-22:45
0087753004;Miramas;Jeudi;05:00-22:45;06:45-22:45
0087751784;La Ciotat – Ceyreste;Lundi;14:00-17:10;Fermé
0087751784;La Ciotat – Ceyreste;Mercredi;14:00-17:10;Fermé
0087751784;La Ciotat – Ceyreste;Jeudi;14:00-17:10;Fermé
0087751784;La Ciotat – Ceyreste;Vendredi;09:00-13:00;Fermé
0087751750;Aubagne;Samedi;05:25-23:15;05:25-23:15
0087751750;Aubagne;Dimanche;05:25-23:15;05:25-23:15
0087751404;Aix-en-Provence;Vendredi;08:00-18:00;
0087751370;Meyrargues;Mercredi;06:10-21:30;08:10-20:25
0087751230;Château-Arnoux-Saint-Auban;Lundi;05:45-21:00;07:30-21:00
0087751230;Château-Arnoux-Saint-Auban;Mercredi;05:45-21:00;07:30-21:00
0087751230;Château-Arnoux-Saint-Auban;Samedi;05:45-21:00;07:30-21:00
0087751206;Sisteron;Jeudi;06:00-20:55;
0087751206;Sisteron;Samedi;06:00-20:55;
0087751081;Marseille Blancarde;Mardi;14:00-17:10;Fermé
0087751081;Marseille Blancarde;Vendredi;09:00-13:00;Fermé
0087747592;Monestier-de-Clermont;Lundi;06:45-13:30;08:00-13:30
0087747592;Monestier-de-Clermont;Mardi;06:45-13:30;08:00-13:30
0087747592;Monestier-de-Clermont;Mardi;14:20-19:00;08:00-13:30
0087747592;Monestier-de-Clermont;Mercredi;14:20-19:00;08:00-13:30
0087747592;Monestier-de-Clermont;Vendredi;06:45-13:30;08:00-13:30
0087747592;Monestier-de-Clermont;Vendredi;06:45-13:30;14:20-19:00
0087747592;Monestier-de-Clermont;Dimanche;08:00-13:30;14:20-19:00
0087747493;Pontcharra sur Bréda;Mercredi;06:30-13:45;
0087747402;Grenoble Universités - Gières;Lundi;14:15-18:00;Fermé
0087747402;Grenoble Universités - Gières;Jeudi;14:15-18:00;Fermé
0087747402;Grenoble Universités - Gières;Vendredi;09:30-13:00;Fermé
0087747287;Voiron;Mercredi;06:00-20:30;08:00-20:30
0087747287;Voiron;Jeudi;06:00-20:30;08:00-20:30
0087747287;Voiron;Dimanche;08:00-20:30;08:00-20:30
0087747246;Rives;Mercredi;05:30-19:00;Fermé
0087747006;Grenoble;Jeudi;04:30-00:00;06:00-23:45
0087747006;Grenoble;Vendredi;04:30-00:00;06:00-23:45
0087746859;Argentière;Vendredi;13:40-17:30;
0087746859;Argentière;Dimanche;13:40-17:30;
0087746784;Chamonix-Mont-Blanc;Lundi;06:30-21:15;06:30-21:15
0087746784;Chamonix-Mont-Blanc;Mardi;06:30-21:15;06:30-21:15
0087746479;Saint-Gervais-les-Bains Le Fayet;Mardi;04:45-22:00;04:45-22:00
0087746438;Sallanches - Combloux - Megève;Mercredi;04:40-21:30;04:40-21:30
0087746412;Magland;Lundi;06:20-20:20;
0087746370;Cluses;Samedi;05:00-22:00;05:00-22:00
0087746347;Marignier;Mardi;06:30-20:50;
0087746347;Marignier;Vendredi;06:30-20:50;
0087746339;Bonneville;Mercredi;05:10-20:45;06:45-20:00
0087746339;Bonneville;Vendredi;05:10-20:45;06:45-20:00
0087746305;La Roche-sur-Foron;Lundi;05:30-22:00;05:30-22:00
0087746248;Groisy - Thorens - La Caille;Mardi;06:30-21:15;06:30-21:15
0087746149;Rumilly;Vendredi;13:30-17:30;
0087746008;Annecy;Mardi;05:00-23:30;
0087746008;Annecy;Jeudi;05:00-23:30;
0087746008;Annecy;Vendredi;05:00-23:30;
0087745679;Évian-les-Bains;Mardi;05:00-00:00;05:00-00:00
0087745646;Thonon-les-Bains;Lundi;06:05-19:55;06:05-19:55
0087745646;Thonon-les-Bains;Mercredi;06:05-19:55;06:05-19:55
0087745646;Thonon-les-Bains;Dimanche;06:05-19:55;06:05-19:55
0087745497;Annemasse;Lundi;04:30-23:59;00:00-01:30
0087745497;Annemasse;Mercredi;00:00-01:30;04:30-23:59
0087745497;Annemasse;Dimanche;00:00-23:59;00:00-23:59
0087745430;Saint-Julien-en-Genevois;Mardi;13:15-17:50;
0087745430;Saint-Julien-en-Genevois;Samedi;09:00-11:30;
0087743757;Tenay - Hauteville;Jeudi;06:30-14:30;
0087743534;Oyonnax;Mardi;05:30-20:30;12:00-20:30
0087743005;Bourg-en-Bresse;Mardi;05:00-21:00;05:00-21:00
0087743005;Bourg-en-Bresse;Jeudi;05:00-21:00;05:00-21:00
0087743005;Bourg-en-Bresse;Vendredi;05:00-21:00;05:00-21:00
0087742320;Saint-Jean-de-Maurienne Arvan;Jeudi;06:00-21:30;07:00-21:30
0087741793;Bourg-Saint-Maurice;Lundi;05:00-23:00;
0087741793;Bourg-Saint-Maurice;Vendredi;05:00-23:30;
0087741793;Bourg-Saint-Maurice;Dimanche;06:00-23:00;
0087741728;Moûtiers - Salins - Brides-les-Bains;Lundi;06:00-22:30;
0087741728;Moûtiers - Salins - Brides-les-Bains;Mercredi;06:00-22:30;
0087741728;Moûtiers - Salins - Brides-les-Bains;Vendredi;06:00-22:50;
0087741645;Albertville;Vendredi;06:00-22:00;06:00-22:00
0087741645;Albertville;Samedi;05:30-22:00;05:30-22:00
0087741645;Albertville;Dimanche;07:00-22:00;07:00-22:00
0087741470;Le Pont-de-Beauvoisin;Lundi;09:30-12:15;
0087741470;Le Pont-de-Beauvoisin;Mercredi;13:30-18:15;
0087741470;Le Pont-de-Beauvoisin;Vendredi;13:30-18:15;
0087741223;Saint-Pierre-d'Albigny;Lundi;06:00-23:00;
0087741223;Saint-Pierre-d'Albigny;Mercredi;06:00-23:00;
0087741223;Saint-Pierre-d'Albigny;Vendredi;06:00-23:00;
0087741223;Saint-Pierre-d'Albigny;Samedi;06:00-23:00;
0087741223;Saint-Pierre-d'Albigny;Dimanche;06:00-23:00;
0087741181;Montmélian;Lundi;05:40-21:30;07:00-21:30
0087741132;Aix-les-Bains le Revard;Mardi;05:20-23:10;05:20-23:10
0087741132;Aix-les-Bains le Revard;Vendredi;05:20-23:10;05:20-23:10
0087741116;Chindrieux;Samedi;06:00-20:00;08:00-20:45
0087741116;Chindrieux;Dimanche;08:00-20:45;08:00-20:45
0087741074;Culoz;Jeudi;05:50-21:00;08:05-22:10
0087741074;Culoz;Samedi;05:50-21:00;08:05-22:10
0087741009;Chambéry - Challes-les-Eaux;Mardi;05:00-23:50;06:00-23:50
0087734871;Massiac - Blesle;Dimanche;10:40-21:55;10:40-21:55
0087734699;Le Puy-en-Velay;Lundi;04:00-23:45;08:00-00:00
0087734699;Le Puy-en-Velay;Mercredi;04:00-23:45;08:00-00:00
0087734699;Le Puy-en-Velay;Jeudi;04:00-23:45;08:00-00:00
0087734475;Thiers;Mercredi;05:20-08:30;
0087734475;Thiers;Jeudi;17:00-20:00;
0087734459;Pont de Dore;Lundi;16:00-20:30;
0087734459;Pont de Dore;Vendredi;06:00-12:30;
0087734426;Vertaizon;Mardi;17:00-20:00;
0087734426;Vertaizon;Jeudi;05:20-08:30;
0087734426;Vertaizon;Jeudi;17:00-20:00;
0087734350;Langogne;Jeudi;06:45-20:00;08:00-20:00
0087734335;Monistrol-d'Allier;Lundi;11:55-19:40;
0087734335;Monistrol-d'Allier;Jeudi;13:50-21:30;
0087734319;Langeac;Vendredi;06:05-21:55;10:05-21:55
0087734301;Saint-Georges-d'Aurac;Samedi;06:50-20:15;10:10-23:45
0087734269;Brioude;Mercredi;03:45-23:30;06:00-00:30
0087734269;Brioude;Samedi;03:45-21:30;06:00-00:30
0087734202;Issoire;Mercredi;05:00-20:00;09:30-21:00
0087734202;Issoire;Vendredi;05:00-21:00;09:30-21:00
0087734178;Les Martres-de-Veyre;Samedi;00:00-23:59;00:00-23:59
0087734053;Riom - Châtel-Guyon;Samedi;06:05-23:20;07:45-23:20
0087734004;Clermont-Ferrand;Lundi;04:45-23:30;07:00-23:30
0087732404;Gannat;Samedi;00:00-23:59;00:00-23:59
0087732008;Vichy;Lundi;05:30-22:50;08:25-22:50
0087732008;Vichy;Vendredi;05:30-22:50;08:25-22:50
0087726877;Feurs;Jeudi;06:45-13:40;
0087726877;Feurs;Vendredi;06:45-13:40;
0087726877;Feurs;Samedi;09:35-16:30;
0087726729;Firminy;Mardi;07:40-18:50;
0087726729;Firminy;Jeudi;07:40-18:50;
0087726729;Firminy;Samedi;14:00-18:35;
0087726414;Bonson;Lundi;14:00-19:00;
0087726307;Saint-Chamond;Lundi;06:20-18:30;10:20-17:10
0087726307;Saint-Chamond;Mardi;06:20-18:30;10:20-17:10
0087726307;Saint-Chamond;Mercredi;06:20-18:30;10:20-17:10
0087726307;Saint-Chamond;Vendredi;06:20-18:30;10:20-17:10
0087726208;Veauche - Saint-Galmier;Mercredi;07:00-14:05;
0087726208;Veauche - Saint-Galmier;Vendredi;07:00-14:05;
0087726190;Saint-Étienne Bellevue;Mardi;13:00-17:15;
0087726190;Saint-Étienne Bellevue;Mercredi;09:20-12:00;
0087726000;Saint-Étienne Châteaucreux;Mercredi;04:50-00:30;06:00-00:30
0087726000;Saint-Étienne Châteaucreux;Dimanche;06:00-00:30;06:00-00:30
0087725820;Vonnas;Lundi;14:30-22:13;
0087725804;Pont-de-Veyle;Mardi;06:30-12:00;15:00-20:00
0087725804;Pont-de-Veyle;Mercredi;06:30-12:00;07:30-14:30
0087725804;Pont-de-Veyle;Mercredi;06:30-12:00;15:00-20:00
0087725804;Pont-de-Veyle;Mercredi;12:30-20:00;07:30-14:30
0087725705;Mâcon Loché TGV;Vendredi;06:00-22:10;
0087725002;Chalon-sur-Saône;Vendredi;05:20-23:30;05:30-23:30
0087725002;Chalon-sur-Saône;Samedi;05:20-23:30;05:30-23:30
0087723791;Servas - Lent;Vendredi;05:30-22:15;07:30-22:15
0087723783;Saint-Paul-de-Varax;Mardi;05:30-22:15;07:30-22:15
0087723767;Marlieux - Chatillon;Mardi;05:30-22:15;07:30-22:15
0087723767;Marlieux - Chatillon;Mercredi;05:30-22:15;07:30-22:15
0087723759;Villars-les-Dombes;Lundi;12:00-20:00;12:00-20:00
0087723742;Saint-Marcel en Dombes;Lundi;05:30-22:15;07:30-22:15
0087723742;Saint-Marcel en Dombes;Vendredi;05:30-22:15;07:30-22:15
0087723742;Saint-Marcel en Dombes;Samedi;05:30-22:15;07:30-22:15
0087723734;Saint-André-de-Corcy;Mercredi;06:00-19:00;Fermé
0087723726;Mionnay;Lundi;05:30-22:15;07:30-22:15
0087723726;Mionnay;Mardi;05:30-22:15;07:30-22:15
0087723718;Les Échets;Lundi;09:30-12:45;Fermé
0087723700;Sathonay - Rillieux;Lundi;09:30-12:45;
0087723700;Sathonay - Rillieux;Lundi;14:00-18:00;
0087723577;La Valbonne;Jeudi;05:30-22:15;07:30-22:15
0087723577;La Valbonne;Vendredi;05:30-22:15;07:30-22:15
0087723577;La Valbonne;Samedi;05:30-22:15;07:30-22:15
0087723536;Saint-Maurice-de-Beynost;Lundi;14:00-18:00;Fermé
0087723536;Saint-Maurice-de-Beynost;Mardi;14:00-18:00;Fermé
0087723536;Saint-Maurice-de-Beynost;Jeudi;06:30-12:45;Fermé
0087723528;Miribel;Jeudi;06:30-12:45;Fermé
0087723494;Saint-André-le-Gaz;Mercredi;05:00-23:00;05:00-23:00
0087723478;La Tour-du-Pin;Jeudi;06:35-19:40;06:45-19:40
0087723478;La Tour-du-Pin;Dimanche;06:45-19:40;06:45-19:40
0087723395;La Verpillière;Vendredi;00:00-23:59;00:00-23:59
0087723395;La Verpillière;Samedi;00:00-23:59;00:00-23:59
0087723387;Saint-Quentin-Fallavier;Jeudi;07:00-13:45;
0087723320;Vénissieux;Mercredi;08:45-19:00;
0087722728;Brignais;Mercredi;07:00-14:00;
0087722728;Brignais;Vendredi;07:00-14:00;
0087722678;Le Péage-de-Roussillon;Lundi;06:00-16:25;12:05-19:20
0087722678;Le Péage-de-Roussillon;Dimanche;12:05-19:20;12:05-19:20
0087722652;Saint-Clair - Les Roches;Jeudi;07:10-13:30;
0087722587;Vienne;Mardi;05:50-20:00;
0087722587;Vienne;Jeudi;05:50-20:00;
0087722587;Vienne;Vendredi;05:50-20:00;
0087722587;Vienne;Dimanche;07:40-20:00;
0087722405;Givors;Mardi;06:20-18:50;
0087722405;Givors;Mercredi;06:20-18:50;
0087722405;Givors;Jeudi;06:20-18:50;
0087722405;Givors;Dimanche;11:20-18:15;
0087722207;Oullins;Mercredi;10:00-13:00;
0087721514;Tassin;Mardi;04:00-14:00;
0087721506;Écully la Demi-Lune;Vendredi;07:00-14:00;
0087721472;Tarare;Mercredi;05:30-20:20;06:10-20:20
0087721472;Tarare;Vendredi;05:30-20:20;06:10-20:20
0087721472;Tarare;Samedi;06:10-20:20;06:10-20:20
0087721431;L'Arbresle;Mardi;06:40-13:15;
0087721431;L'Arbresle;Samedi;14:30-20:00;
0087721423;Lozanne;Mercredi;06:30-13:25;Fermé
0087721357;Belleville sur Sâone;Lundi;04:50-23:00;05:50-23:00
0087721357;Belleville sur Sâone;Mercredi;04:50-23:00;05:50-23:00
0087721332;Villefranche-sur-Saône;Mardi;05:30-23:00;
0087721282;Saint-Germain-au-Mont-d'Or;Lundi;14:00-19:00;
0087721282;Saint-Germain-au-Mont-d'Or;Mercredi;14:00-19:00;
0087721282;Saint-Germain-au-Mont-d'Or;Jeudi;14:00-19:00;
0087721266;Albigny - Neuville;Vendredi;14:00-19:00;
0087721175;Lyon Gorge de Loup;Lundi;07:30-14:00;
0087721175;Lyon Gorge de Loup;Mardi;07:30-14:00;
0087721001;Lyon Vaise;Mardi;10:15-13:00;Fermé
0087721001;Lyon Vaise;Jeudi;14:15-18:35;Fermé
0087718833;Mouchard;Lundi;05:35-20:45;05:35-20:45
0087718544;Le Valdahon;Mardi;09:00-12:30;Fermé
0087718544;Le Valdahon;Mercredi;13:30-17:05;Fermé
0087718544;Le Valdahon;Jeudi;09:00-12:30;Fermé
0087718544;Le Valdahon;Jeudi;13:30-17:05;Fermé
0087718296;Saint-Amour;Lundi;05:00-21:45;05:00-23:00
0087718296;Saint-Amour;Samedi;05:00-21:45;05:00-23:00
0087718239;Lons-le-Saunier;Jeudi;05:00-21:05;06:00-23:05
0087718015;Besançon Mouillère;Lundi;09:00-12:30;Fermé
0087718015;Besançon Mouillère;Mardi;14:00-17:30;Fermé
0087718015;Besançon Mouillère;Mercredi;09:00-12:30;Fermé
0087718015;Besançon Mouillère;Mercredi;14:00-17:30;Fermé
0087718015;Besançon Mouillère;Vendredi;09:00-12:30;Fermé
0087718007;Besançon Viotte;Lundi;05:00-22:30;06:00-23:30
0087718007;Besançon Viotte;Jeudi;05:00-22:30;06:00-23:30
0087715441;Morez;Mardi;06:00-19:30;06:00-20:45
0087715136;Frasne;Lundi;05:10-21:00;07:55-21:00
0087715003;Pontarlier;Mercredi;04:45-21:45;06:00-21:45
0087713859;Is-sur-Tille;Vendredi;04:30-23:15;
0087713578;Chagny;Jeudi;05:30-23:15;05:30-23:15
0087713578;Chagny;Vendredi;05:30-23:15;05:30-23:15
0087713545;Beaune;Lundi;05:35-23:15;05:35-23:15
0087713545;Beaune;Mardi;05:35-23:15;05:35-23:15
0087713529;Nuits-Saint-Georges;Jeudi;05:00-23:45;05:00-23:45
0087713529;Nuits-Saint-Georges;Vendredi;05:00-23:45;05:00-23:45
0087713347;Auxonne;Lundi;05:30-17:00;Fermé
0087713347;Auxonne;Mardi;05:30-17:00;Fermé
0087713313;Genlis;Mardi;05:30-12:00;
0087713131;Montbard;Mercredi;05:45-22:00;06:45-22:10
0087713131;Montbard;Vendredi;05:45-22:00;06:45-22:10
0087713131;Montbard;Samedi;05:45-22:00;06:45-22:10
0087696450;Imphy;Mercredi;08:15-15:40;
0087696328;Moulins sur Allier;Jeudi;05:40-22:15;07:30-22:15
0087696260;Saincaize;Vendredi;05:30-21:45;
0087696260;Saincaize;Samedi;06:30-21:45;
0087696195;La Charité-sur-Loire;Samedi;08:10-19:00;
0087696146;Cosne-sur-Loire;Vendredi;05:10-22:45;07:00-22:45
0087696088;Briare;Mercredi;14:30-15:50;
0087696005;Nevers;Mercredi;04:00-22:15;04:00-23:00
0087694620;Montceau-les-Mines;Lundi;07:45-12:10;14:05-19:30
0087694570;Autun;Mardi;09:30-12:30;Fermé
0087694307;Montchanin;Lundi;05:30-22:00;
0087694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;Vendredi;06:05-22:45;
0087694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;Samedi;06:05-22:45;
0087694000;Le Creusot;Mercredi;08:50-17:55;
0087686006;Paris Gare de Lyon;Vendredi;04:45-01:30;04:45-01:30
0087684290;Gien;Jeudi;05:35-20:10;13:10-20:05
0087684274;Nogent-sur-Vernisson;Jeudi;14:40-15:50;
0087684217;Souppes - Château-Landon;Mercredi;06:05-13:00;09:50-17:40
0087684217;Souppes - Château-Landon;Samedi;09:50-17:40;09:50-17:40
0087684001;Montargis;Vendredi;04:00-01:10;04:00-01:10
0087683789;Avallon;Jeudi;04:10-22:10;09:00-22:10
0087683789;Avallon;Dimanche;09:00-22:10;09:00-22:10
0087683573;Auxerre Saint-Gervais;Vendredi;04:30-23:00;07:15-23:00
0087683532;Chemilly - Appoigny;Mercredi;04:30-22:00;07:35-22:00
0087683532;Chemilly - Appoigny;Dimanche;07:35-22:00;07:35-22:00
0087683268;Laroche - Migennes;Jeudi;03:45-00:45;03:45-00:45
0087683268;Laroche - Migennes;Vendredi;03:45-00:45;03:45-00:45
0087683003;Sens;Lundi;04:00-00:15;10:00-20:00
0087683003;Sens;Mercredi;04:00-00:15;10:00-20:00
0087682302;Montereau;Samedi;06:00-18:00;06:00-20:00
0087682302;Montereau;Vendredi;06:00-20:00;06:00-20:00
0087677120;Saint-Jean-de-Luz - Ciboure;Mardi;06:30-22:15;07:15-22:15
0087677120;Saint-Jean-de-Luz - Ciboure;Jeudi;06:30-22:15;07:15-22:15
0087677120;Saint-Jean-de-Luz - Ciboure;Samedi;07:15-21:30;07:15-22:15
0087677005;Hendaye;Lundi;04:00-22:45;06:30-22:45
